Spells.py	Every * dark damage dealt, gain a charge.	[*ダーク:dark]ダメージを与えるたびに、チャージを*つ得る。
Spells.py	Grants * resist to [fire:fire], [lightning:lightning], and [physical:physical] damage and provides thorns buff that deals * damage for each chaos type to enemies that attack buffed units.	[ファイア:fire]と[ライトニング:lightning]と[物理:physical]のダメージに対する*の耐性と、攻撃してきた敵に各カオス属性で*ダメージずつ与える反撃のバフを与える。
Spells.py	Gains a [*:damage] damage leap attack with a * turn cooldown.	[*ダメージ:damage]でクールダウンが*ターンの跳躍攻撃を得る。
Spells.py	Summon [*:num_summons] wizards	[*体:num_summons]のウィザードを召喚する。
Spells.py	Stuns for * turns.	[*ターン:duration][スタン:stunned]させる。
Spells.py	Also provides resistance to [arcane:arcane], [holy:holy], and [ice:ice].	[アーケイン:arcane]と[ホーリー:holy]と[アイス:ice]に対する耐性も与える。
Spells.py	Arcane Allies are raised as fae bone shamblers instead of normal ones.	[アーケイン:arcane]の味方はフェイ・ボーン・シャンブラーとして復活する。
Spells.py	Whenever you cast a [chaos] spell, cast Pyrostatic Curse at that position.	[カオス:chaos]呪文を唱えるたび、その位置にパイロスタティック・カースを唱える。
Spells.py	After dealing [dark] and [lightning] damage, deals [fire] damage as well	[ダーク:dark]と[ライトニング:lightning]のダメージを与えた後、[ファイア:fire]ダメージも与える。
Spells.py	Can target [demon] and [arcane] units	[デーモン:demon]や[アーケイン:arcane]のユニットを対象にできる。
Spells.py	Demon units are also affected	[デーモン:demon]ユニットも効果を受ける。
Spells.py	Gains charges separately from [fire:fire], [lightning:lightning], and [physical:physical] damage, and redeals each on expiration.	[ファイア:fire]と[ライトニング:lightning]と[物理:physical]のダメージごとにチャージを別々に獲得し、効果終了時にそれぞれを再度与える。
Spells.py	Fire allies are raised as burning bone shamblers instead of normal ones.	[ファイア:fire]の味方はバーニング・ボーン・シャンブラーとして復活する。
Spells.py	Also works on [fire:fire] spells and gives [*_fire:fire] resist.	[ファイア:fire]呪文でも効果があり、[*ファイア:fire]耐性を与える。
Spells.py	[Lightning:lightning] damage arcs to [*:num_targets] enemy units in line of sight.	[ライトニング:lightning]ダメージは視界内の[*体:num_targets]の敵ユニットに連鎖する。
Spells.py	Instead of beams of lightning, fires your Pyrostatic Pulse.	[ライトニング:lightning]ビームではなく、あなたのパイロスタティック・パルスを発射する。
Spells.py	Lasts * turns after you cast a [lightning:lightning] spell instead of vanishing instantly.	[ライトニング:lightning]呪文を最後に唱えた後、即座に消えるのではなく*ターン持続する。
Spells.py	When a [living] target dies to touch of death, it is raised as a friendly Reaper for [*:minion_duration] turns	[生物:living]の対象がタッチ・オブ・デスで死ぬと、それは[*ターン:minion_duration]の間友好的なリーパーとして復活する。
Spells.py	When a [living] target dies to touch of death, it is raised as a friendly Vampire.	[生物:living]の対象がタッチ・オブ・デスで死ぬと、それは友好的なヴァンパイアとして復活する。
Spells.py	Spawn ghosts from non [living] units as well	[生物:living]でないユニットからもゴーストを召喚する。
Spells.py	Summon glass mushbooms instead, which apply glassify instead of poison	[毒:poisoned]ではなく[ガラス化:glassify]を与えるガラス・マッシュブームを召喚する。
Spells.py	Summon grey mushbooms instead, which apply stun instead of poison.	[毒:poisoned]ではなく[スタン:stunned]を与えるグレイ・マッシュブームを召喚する。
Spells.py	Summon red mushbooms instead, which do not apply poison but deal fire damage	[毒:poisoned]ではなく[ファイア:fire]ダメージを与えるレッド・マッシュブームを召喚する。
Spells.py	For every * charges stored, summon a flame spirit.	*チャージ得るごとにフレイム・スピリットを召喚する。
Spells.py	Every * damage, return a charge of your Ice Phoenix spell.	*ダメージごとにアイス・フェニックス呪文のチャージが*つ回復する。
Spells.py	Summon a Fae Fly Swarm every * damage.	*ダメージごとにフェイ・フライ・スウォームを召喚する。
Spells.py	Plant * seedlings instead of *	*つではなく*つの苗木を植える。
Spells.py	For each * damage dealt by a single cast, gain a charge of a random ice conjuration spell.	*回の詠唱で*ダメージ与えるごとに、ランダムな[アイス:ice][コンジャレーション:conjuration]呪文のチャージを*つ獲得する。
Spells.py	Every * kills gain a wolf charge.	*体の敵を倒すごとにウルフのチャージを*つ獲得する。
Spells.py	Every * kills casts your Fiery Tormentor spell where the slain enemy was.	*体の敵を倒すたびに、倒した敵のいた場所にあなたのファイアリー・トーメンター呪文を唱える。
Spells.py	Summons a Storm Spirit for every * damage dealt	*ダメージごとにストーム・スピリットを召喚する。
Spells.py	Arc Lightning deals [*_arcane:arcane] damage to all units in line of sight of each arc target	アーク・ライトニングは各電弧の対象の視界内のすべてのユニットに[*アーケイン:arcane]ダメージを与える。
Spells.py	Arc Lightning heals allies instead of damaging them	アーク・ライトニングは味方にダメージを与えるのではなく回復する。
Spells.py	Arcane Orb fires twice.	アーケイン・オーブは*回発射する。
Spells.py	Arcane Orb casts your Blazerip spell instead of your Magic Missile spell.	アーケイン・オーブはあなたのマジック・ミサイル呪文ではなくブレイズリップ呪文を唱える。
Spells.py	Archon's attack arcs a maximum of one time to a nearby enemy.	アーコンの攻撃は近くの敵に*回まで連鎖する。
Spells.py	Archon's attack heals allies it passes through.	アーコンの攻撃は射線上の味方を回復する。
Spells.py	Archon gains * Ice resist and its attack also deals Ice damage.	アーコンは[*アイス:ice]耐性を得て、攻撃は[アイス:ice]ダメージも与える。
Spells.py	Earthquake will not damage friendly units.	アースクエイクは友好的なユニットにダメージを与えない。
Spells.py	Whenever you cast Earthquake, Earthquake gains +* radius for * turns.	アースクエイクを唱えるたび、*ターンの間アースクエイクは半径[+*タイル:radius]を得る。
Spells.py	Earthen Sentinel gains your Earthquake spell on a * turn cool down.	アースン・センチネルはあなたのアースクエイク呪文を*ターンのクールダウンで唱える。
Spells.py	Earthen Sentinel gains your Poison Sting spell.	アースン・センチネルはあなたのポイズン・スティング呪文を得る。
Spells.py	Earthen Sentinel gains your Heavenly Blast spell on a * turn cool down.	アースン・センチネルはあなたのヘブンリー・ブラスト呪文を*ターンのクールダウンで唱える。
Spells.py	Eye of Ice casts your Iceball spell.	アイ・オブ・アイスはあなたのアイスボール呪文を唱える。
Spells.py	Whenever eye of fire kills an enemy, it fires again	アイ・オブ・ファイアが敵を倒すたび、再び発射される。
Spells.py	Eye of Fire casts your fireball spell	アイ・オブ・ファイアはあなたのファイアボール呪文を唱える。
Spells.py	Eye of fire summons a Flaming Eyeball on expiration	アイ・オブ・ファイアは終了時にフレイミング・アイボールを召喚する。
Spells.py	Eye of Lightning casts your Thunderstrike spell.	アイ・オブ・ライトニングはあなたのサンダーストライク呪文を唱える。
Spells.py	Eye of Lightning applies a non-stacking -* Lightning resist to target.	アイ・オブ・ライトニングは対象に累積しない[-*ライトニング:lightning]耐性を与える。
Spells.py	When Eye of Rage targets a [living] unit with * or less HP, that unit is instantly killed and raised as friendly Werewolf.  That Werewolf is berserked for * turns.	アイ・オブ・レイジがＨＰ*以下の[生物:living]ユニットを対象にすると、そのユニットは即座に死亡し、友好的なウェアウルフとして復活する。そのウェアウルフは[*ターン:duration]の[狂乱:berserk]状態になる。
Spells.py	Eye of Rage targets a connected group	アイ・オブ・レイジは隣接した集団を対象にする。
Spells.py	Ice Walls gain fae modifier.	アイス・ウォールはフェイの特性を得る。
Spells.py	Ice Orb casts your Blizzard on an * turn cooldown.	アイス・オーブはあなたのブリザードを*ターンのクールダウンで唱える。
