tag	fire	ファイア	火炎
tag	lightning	ライトニング	電撃
tag	ice	アイス	氷結
tag	nature	ネイチャー	自然
tag	arcane	アーケイン	秘術
tag	dark	ダーク	暗黒
tag	holy	ホーリー	神聖
tag	sorcery	ソーサリー	魔術
tag	conjuration	コンジャレーション	召喚
tag	enchantment	エンチャントメント	付呪
tag	word	ワード	言葉
tag	orb	オーブ	球体
tag	dragon	ドラゴン	竜種
tag	translocation	トランスロケーション	転送
tag	metallic	メタリック	金属
tag	eye	アイ	眼球
tag	chaos	カオス	混沌
tag	blood	ブラッド	流血
tag	living	生物	生者
tag	physical	物理	物理
tag	undead	アンデッド	不死
tag	elemental	エレメンタル	精霊
tag	heal	ヒール	回復
tag	acid	アシッド	強酸
tag	demon	デーモン	悪魔
tag	spider	スパイダー	クモ
tag	poison	ポイズン	猛毒
tag	construct	コンストラクト	物質
tag	glass	ガラス	ガラス
tag	tongue	タン	舌
tag	slime	スライム	粘体
tag	consumable	消耗品	
